Sender,Total Burned (MOOJ),Rank
CVUDX7E7XHSLJHQA4KVTSRN3EOGJ7LEEF7NXLUMMQ5L2KR2FN3BHAGYMFY,457582.65692751,1
3P6LY6KCTP52YQ7JBCHHPGYGL75VMTKAK3YNY5ZEAWOP5H2ZHKCDGTL2MA,210687.26012923,2
PHV6Y476Y64WJNJD5RCFGGPMLTZ7FDHYU6SBXRTRYA23OGGNXELKECI5PE,69000.0,3
T3PCT665CK3FWKW5RT3JBKS647DLROD7MAUUOLKS7NCJM2PZ2V2CK3TVAQ,66932.75811391001,4
Q4OZDP4F5FLHYIVKKCXD6SDBJWHOGNMLLG7LTTNAWX5K6C2BU4F4UPPDXI,66789.08127853,5
TJERHHAVFSOHDSZ4VGKGW23PXHEVEMHGTB3N2XTJ4ENCAKNNPSF7WYGS4E,55179.535321749994,6
47VFOYF3AA3WP5HXRM66ZYDSTGWHUUNPB6Q4NF3NMDBFBQCVOA4LCOBI7M,41134.53488237,7
5R6ZTYLDGKHPH54H62EDZ6LQPPPXPKMV5MU3QE44FIAK5NKBN233IJSAOI,31510.60006831,8
SML6KNE46TYKAYMYO5YHEYKSFV7DU3KO32RHENQACZGOM7N4OH7RRE4HNQ,28748.31711817,9
TW4HBSYIXSOW32BYL24QJ7GND4N2XZ7DRUNXNOAQQFMTQ3DXZEE5IWJ4HA,27552.70281548,10
4EDK476JYBMV2UDIVAY4GHRFOCS4LQXRICXACBALNJVURWALF3TCVQBLVA,27044.2992406,11
6V4ZMIBOKD5ZAQRBRQU6OGBJGB6ZRXMNVOBYLNZN2LKID4VVQYWO2IJIMY,26925.00395927,12
KZJHHIKQYZAXVJVSTXJ45XXXIZQTRD6UTCX77FCK34BP22PEC7B7ZZMIQQ,25575.93857612,13
B6U5HPVUMR2G7VV7DF5SRXRXI6M6UDVQVX4I6EV3NEVIBDBOJRBTKXWC5E,22352.11928107,14
XEWX4E7EMD2WTUK7FNYPUXXGL34G2RWZPYGK5D57BUPKPWEVDS42QXJVGA,19773.20913737,15
3WOWQ5DWHGTETYQV4MOZZSUPQM73YCENTKHVZ43X3OVI5OVYFQOF4GPEGI,19542.63333575,16
RJSWD3TB4LWPANBEVFQTG7VXYXQSFLOLVY4MY6J62HL6UMZPDIYH2XMTZA,18657.87050396,17
ANGEL3CMT7TEXSBJR3DCTJTZCQFOF6FJB6PDKU4IOAMTNPXGR7XUYKOU5Y,18406.34297366,18
QMUOVXW6DYBMWMPOG4YQR7GRCIE4RFNBRCX5XOBKXZD2Q3GDS677KLZURQ,17438.91910129,19
D3S6VBVPDD2Y2SNYFAT65AL25KUCKMY5IYM7RK3N4LMJIW44G2OWKBRSOI,17405.46018974,20
BHKDX2SAPSHDSNMVT6CHXFCUN5EQQFT2UMNPWQOVKKIG5RZX5BO6GWZAE4,15774.10337193,21
G577QD4J327AWJGFK3J5VY7VYGSFQXENJCH7X5ZFNTWHB7QEQW4U6UOT5Q,15522.65148593,22
J3JRGUDHCBG3BZ5IOU4YJM7AWWEAJLGHYG5JRJBDNO7KOJRASDV3Y4EIJE,15240.269514880001,23
X5KD3VTDUN3H2FFYJX2NDIGQ2V2SS44XUSYGJWHI4KH6ZOXF44SE7KEXVU,14932.11526228,24
BANRKCSXONWYOYAN5LZBAVMXOEX3VK6UH7WGMYXKTVA5A7OTJWEA5WIYJY,14929.19164436,25
OPTGBLHKTP7LV2WLD22PSOBCVXBKCBLWVGDHKZ34T4YPK3DOMMCNGGQXLY,13107.538575999999,26
TINYGRZLXA3SNQ5LF4BCPKVUGPBC6VCVQB2O7KBAP7AXPE2NMX5RSJM5NE,12943.10673055,27
CQIPOTBNFPV75EIHOMD473XJ7YRZJZY7CGRUXPVJJBRNNF2PYUSVV3GOMQ,12780.65651979,28
WMQF2NKJQK26UGQUNSMUXKXYXQU42LA6YPJG6LRKPYZNOWPBTJ2667FS4M,11592.62269513,29
5TUHRRH7F5PVVPKMZNKGLNVGSX4K5FT44NMPKDM5S32LHAYAO6G3B2H65A,10868.66828448,30
XLPVADBFOI4HSWT7OTPDQVOPDHH6QBT7V6EPFGUXBMWZAM2FR2GLM764CY,10553.7021514,31
C3BAWSWHRBIHSG5ICJJT4CTLQMCVEC5RQQ66AWCVMOUZOXPKWZTM3CATDE,10200.76818094,32
3D46Z7FW4LBEBF5XOIJWL5B55OZUQHTPV5SY6JNLWJJ5VFOVVFH6O5QZXI,10107.667194959999,33
6NGRKSQREG42AT5I565URF2ZGCOF43UST7LVE7ZGHEGQ6CSEBRXR6US3GU,10098.13758104,34
KZMS5ZTLVSACDEQFUFSTLSTDDC25RO7D6KZ3OAQCPTLXTI22U5GR34OK4I,10039.29331748,35
BBIKT7D3EC4BOWGIM74CZJ7Z4FGIAULHO3LZEKI6WJC3FNPKRIZJXQFMAU,9651.2461839,36
DROC4QN7EBBAY2EKPPPU6XMU2PWT2QNZKDRRSL4G72S3YAUK66TTAPCSYM,9642.1124796,37
4APQEWNGFU3XAYMRTADJ2WQYQIA74OTJJWCFQD6LEKUD6RDQGL7JG4RBAA,8941.59425484,38
L6WI2NQOTNVIWUFC3INR45VY55VPOLSJLMGYVYS6WIE574UQOJUYK46RP4,8854.43035967,39
KH45RLDMALVWRL53HCOC33B2JAYPUSSKDHCAHH45GXY6AYDRO43ZBAXZBE,8784.9862045,40
ORPVFHGZK7KRXJVFADWMRTX5AEJTMR3JMB4T6EFNZTLA4ZT2SXLXPDXSYM,8528.96811076,41
FGR54NWYXAHVQIWM63CC22LQLZTHHY2UFKGSPADKBG2VNBFG7G7FVVOA3E,8062.73970281,42
OPCAO6WKKNVMEJPRA2XXZPV6TBJV7HSJBM7RJ7QFQDPDDD2ICTY6TYDIXY,7134.31267581,43
5URM4YO6WI2MQ66D3XRZXSKOBMEXDCSMBIUW2RVB2LYDPATKNIX4YVJOGY,6798.00047684,44
3LTSM6AQ76NUF2TUYJX2IHIHB7Y77N6SN4JCYO6KSII4CXOENXIYUKOZX4,6735.11252995,45
JI3XSUZ6UN6PDK2TFGLZZTGFTOMXDIJ7MTXSVVSYYY5XEEWZHKBLY5SSOM,6648.01871644,46
DLTW6TC4GBL32GXCSVYL5Y6XXRFXDDWIN7C26XJPIBCJ4JX2P2JBSPTJ74,6563.87758799,47
BVHJC7BNIXZB564D2T3J4HJD7B73CTFOZP5CDJV65QJCIGS24D3HZK353M,6484.31030371,48
SUMO7XBB456AUMSF5DWY42ZNVANU3JIAPGS6W7RHCHS2C2TOYRLHRXDLWQ,6106.67816883,49
TFWSHY5JLWNU4SKHGK33FL3IXF6SZTSKMBO6WWSI726EGRH462BSY4F564,5936.60608295,50
2FL6YRYN3ZS5AAL2PYZU5YWLXLXSHK4KZMVTYWRSPCA2YDWIMQL2CP574Q,5918.6429323,51
YCAPMLQANHERA7Z33UUACC6I5Q5K7WXY4FRDSAZTPQFTQ2RKEAZBXFWIQY,5737.57641748,52
SVSID7CECRWZKBNF7DOTGTFJFXFHJVHD6DV4LEDO57A4CYZARAVMSFGTRA,5736.21791708,53
KXJBRP5BNQ43R46VXMHUZSLZDHB2ODFPNG5NQUL7MENWNLCRFF7C2PADNU,5586.56212499,54
N7Y57N5KAMBNLCMZOOV7NBNXA54MPQPWTB4KVR7XQ43RK2N4K52ASZG7UA,5586.26607085,55
